white,black,pieza,casilla,respuestas,ganan,tablas,pierden,plies,gana1,gana2,sindef
12345,23446,4,centro,32,4,0,28,12,58.5,41.4,0.1
12345,23446,5,centro,32,8,0,24,10,56.4,43.5,0.1
12345,23446,3,esquina,32,1,0,31,10,55.3,44.5,0.1
12345,23446,2,esquina,32,1,0,31,10,54.2,45.7,0.1
12345,23446,5,lado,32,1,1,30,10,53.5,46.0,0.5
12345,23446,4,esquina,32,1,0,31,10,53.3,46.5,0.2
12345,23446,1,esquina,32,1,0,31,10,52.1,47.8,0.1
12345,23446,3,centro,32,4,0,28,12,51.2,48.7,0.1
12345,23446,5,esquina,32,2,0,30,10,49.1,50.5,0.3
12345,23446,2,centro,32,4,0,28,12,46.5,53.2,0.3
12345,23446,4,lado,32,4,4,24,10,40.7,58.5,0.8
12345,23446,1,centro,32,4,0,28,12,40.3,59.2,0.5
12345,23446,3,lado,32,8,0,24,10,38.0,61.5,0.4
12345,23446,1,lado,32,11,0,21,10,33.6,66.0,0.3
12345,23446,2,lado,32,11,0,21,10,32.5,67.2,0.2
13445,22366,4,esquina,24,1,0,23,10,56.6,42.2,1.2
13445,22366,3,centro,24,4,0,20,12,54.8,44.9,0.3
13445,22366,5,esquina,24,1,0,23,10,54.3,45.2,0.5
13445,22366,3,esquina,24,1,0,23,8,54.2,44.9,0.9
13445,22366,4,centro,24,4,0,20,12,53.6,45.7,0.7
13445,22366,1,esquina,24,1,0,23,8,52.1,47.1,0.7
13445,22366,5,centro,24,4,0,20,12,50.8,48.9,0.3
13445,22366,4,lado,24,7,0,17,10,48.0,50.6,1.4
13445,22366,5,lado,24,7,0,17,10,45.2,53.2,1.6
13445,22366,1,centro,24,4,0,20,12,41.4,56.9,1.8
13445,22366,3,lado,24,9,2,13,8,39.4,59.8,0.8
13445,22366,1,lado,24,12,0,12,8,31.6,67.7,0.8
13455,22366,5,esquina,24,1,0,23,10,56.6,42.1,1.2
13455,22366,3,esquina,24,1,0,23,8,55.4,43.5,1.1
13455,22366,4,esquina,24,1,0,23,10,54.3,45.1,0.6
13455,22366,3,centro,24,4,0,20,12,54.0,45.6,0.4
13455,22366,5,centro,24,4,0,20,12,53.6,45.6,0.8
13455,22366,1,esquina,24,1,0,23,8,52.2,47.1,0.6
13455,22366,4,centro,24,4,0,20,12,50.8,48.9,0.3
13455,22366,5,lado,24,7,0,17,10,48.0,50.5,1.6
13455,22366,4,lado,24,7,0,17,10,45.2,53.2,1.6
13455,22366,1,centro,24,4,0,20,12,41.6,56.6,1.8
13455,22366,3,lado,24,9,2,13,8,39.4,59.3,1.4
13455,22366,1,lado,24,12,0,12,8,31.6,67.6,0.8
14455,22366,4,esquina,24,1,0,23,10,57.8,41.1,1.1
14455,22366,5,esquina,24,1,0,23,10,57.2,41.8,1.0
14455,22366,5,centro,24,4,0,20,12,56.5,43.0,0.5
14455,22366,4,centro,24,4,0,20,12,55.9,43.6,0.5
14455,22366,1,esquina,24,1,0,23,8,53.8,45.6,0.7
14455,22366,5,lado,24,7,0,17,10,49.0,49.4,1.6
14455,22366,4,lado,24,7,0,17,10,48.8,49.3,1.9
14455,22366,1,centro,24,4,0,20,12,43.7,54.0,2.4
14455,22366,1,lado,24,12,0,12,8,33.0,65.8,1.3
14455,23366,5,centro,24,4,0,20,12,56.9,42.6,0.5
14455,23366,4,esquina,24,1,0,23,10,56.9,41.9,1.2
14455,23366,5,esquina,24,1,0,23,10,56.7,42.4,0.9
14455,23366,4,centro,24,4,0,20,12,56.1,42.9,1.0
14455,23366,1,esquina,24,1,0,23,8,53.8,45.5,0.7
14455,23366,5,lado,24,7,0,17,10,49.2,49.3,1.5
14455,23366,4,lado,24,7,0,17,10,48.9,49.6,1.4
14455,23366,1,centro,24,4,0,20,12,43.5,54.1,2.3
14455,23366,1,lado,24,12,0,12,8,33.5,65.5,1.1
14455,23466,5,esquina,32,1,0,31,10,54.6,44.5,0.8
14455,23466,4,centro,32,4,0,28,12,54.2,45.4,0.3
14455,23466,5,centro,32,4,0,28,10,53.5,46.2,0.2
14455,23466,4,esquina,32,1,0,31,8,53.5,45.8,0.7
14455,23466,1,esquina,32,1,0,31,8,49.2,50.3,0.5
14455,23466,5,lado,32,9,2,21,10,43.7,55.1,1.2
14455,23466,4,lado,32,11,2,19,8,38.0,61.0,1.0
14455,23466,1,centro,32,4,0,28,12,37.4,61.1,1.5
14455,23466,1,lado,32,15,0,17,8,31.9,67.2,0.9
22445,13356,5,centro,32,4,0,28,12,56.9,42.5,0.7
22445,13356,4,esquina,32,2,0,30,10,54.8,43.9,1.3
22445,13356,4,centro,32,8,0,24,12,53.0,46.1,0.8
22445,13356,2,esquina,32,2,0,30,8,51.4,47.8,0.8
22445,13356,5,esquina,32,2,0,30,10,50.9,48.0,1.2
22445,13356,2,centro,32,8,0,24,12,47.8,51.0,1.2
22445,13356,4,lado,32,6,0,26,10,44.7,54.1,1.1
22445,13356,5,lado,32,8,2,22,10,44.5,54.4,1.1
22445,13356,2,lado,32,10,2,20,8,33.4,65.6,1.1
22445,13366,4,centro,24,4,0,20,12,55.9,43.5,0.7
22445,13366,4,esquina,24,1,0,23,10,55.1,43.6,1.2
